Address,Crawl Depth,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,Size,Word Count,Text Ratio,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Response Time,Last Modified,Redirect URI,Redirect Type,URL Encoded Address
HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jhsph.edu/departments/mental-health/,0,text/html;charset=UTF-8,200,OK,Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,77,647,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Mental Health,13,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/index.html,130876,4288,21.738,897,443,99.33,202,130,107,85,2.115,,,,https://www.jhsph.edu/departments/mental-health/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jhsph.edu/departments/mental-health/about-us/,1,text/html;charset=UTF-8,200,OK,About Us - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,88,737,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,About Us,8,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/about-us/index.html,38438,809,14.649384,147,142,31.84,148,114,23,20,1.135,,,,https://www.jhsph.edu/departments/mental-health/about-us/
https://www.jhsph.edu/departments/mental-health/about-us/epidemiology-of-mental-disorders.html,2,text/html;charset=UTF-8,200,OK,Epidemiology of Mental Disorders - About Us - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,123,1022,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Epidemiology of Mental Disorders,32,,0,Prevalence,10,Mortality,9,,,https://www.jhsph.edu/departments/mental-health/about-us/epidemiology-of-mental-disorders.html,39273,515,9.860195,8,4,0.9,162,132,24,21,1.062,,,,https://www.jhsph.edu/departments/mental-health/about-us/epidemiology-of-mental-disorders.html
https://www.jhsph.edu/departments/mental-health/about-us/index.html,2,text/html;charset=UTF-8,200,OK,About Us - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,88,737,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,About Us,8,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/about-us/index.html,38458,809,14.64176,1,1,0.22,148,115,23,20,0.671,,,,https://www.jhsph.edu/departments/mental-health/about-us/index.html
https://www.jhsph.edu/departments/mental-health/about-us/origins-of-mental-health.html,2,text/html;charset=UTF-8,200,OK,Origins of Mental Health - About Us - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,115,946,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Origins of Mental Health,24,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/about-us/origins-of-mental-health.html,54674,3319,40.799004,10,4,0.9,144,114,23,20,0.761,,,,https://www.jhsph.edu/departments/mental-health/about-us/origins-of-mental-health.html
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECTIVE STUDENTS AND FELLOWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/,1,text/html;charset=UTF-8,200,OK,Prospective Students and Fellows - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,112,934,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Prospective Students and Fellows,32,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/index.html,40427,651,11.693837,188,143,32.06,159,116,23,20,1.166,,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/
https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/application-information/,1,text/html;charset=UTF-8,200,OK,Application Information - Prospective Students and Fellows - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,138,1133,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Application Information FAQ,27,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/application-information/index.html,41342,1072,18.140694,325,140,31.39,152,119,23,20,1.061,,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/application-information/
https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/application-information/index.html,2,text/html;charset=UTF-8,200,OK,Application Information - Prospective Students and Fellows - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,138,1133,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Application Information FAQ,27,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/application-information/index.html,41362,1072,18.13192,1,1,0.22,152,120,23,20,0.713,,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/application-information/index.html
https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/certificate-programs/,2,text/html;charset=UTF-8,200,OK,Certificate Programs - Prospective Students and Fellows - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,135,1114,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Certificate Programs,20,,0,Certificate Program in Public Mental Health Research,52,"Mental Health Policy, Economics and Services",44,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/certificate-programs/index.html,38721,667,12.627528,45,38,8.52,151,118,23,20,1.111,,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/certificate-programs/
https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/certificate-programs/index.html,3,text/html;charset=UTF-8,200,OK,Certificate Programs - Prospective Students and Fellows - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,135,1114,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Certificate Programs,20,,0,Certificate Program in Public Mental Health Research,52,"Mental Health Policy, Economics and Services",44,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/certificate-programs/index.html,38741,667,12.621008,1,1,0.22,151,119,23,20,0.677,,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/certificate-programs/index.html
https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/degree-programs/,1,text/html;charset=UTF-8,200,OK,Degree Programs - Prospective Students and Fellows - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,130,1092,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Degree Programs,15,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/degree-programs/index.html,38652,590,11.022563,62,42,9.42,153,119,23,20,0.855,,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/degree-programs/
https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/degree-programs/ba-mhs-in-mental-health/,2,text/html;charset=UTF-8,200,OK,BA/MHS in Mental Health - Degree Programs - Prospective Students and Fellows - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,156,1312,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,BA/MHS in Mental Health,23,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/degree-programs/ba-mhs-in-mental-health/index.html,38660,686,12.285921,16,11,2.47,151,119,23,20,0.971,,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/degree-programs/ba-mhs-in-mental-health/
