Address,Crawl Depth,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Canonical Link Element 1,Size,Word Count,Text Ratio,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Response Time,Last Modified,Redirect URI,Redirect Type,URL Encoded Address
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOME: 1 URLs (1 initially, 0 removed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jhsph.edu/departments/health-policy-and-management/,0,text/html;charset=UTF-8,200,OK,Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,92,786,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management",758,Health Policy and Management ,29,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/index.html,67484,853,8.8115,1417,749,98.94,186,133,56,32,2.965,,,,https://www.jhsph.edu/departments/health-policy-and-management/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PROSPECTIVE STUDENTS: 4 URLs (5 initially, 1 removed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/,1,text/html;charset=UTF-8,200,OK,Prospective Students - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,115,972,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management",758,Prospective Students,20,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/index.html,48838,895,12.922913,229,223,29.46,145,117,47,29,3.019,,,,https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/
https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/frequently-asked-questions.html,3,text/html;charset=UTF-8,200,OK,Frequently Asked Questions - Prospective Students - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,144,1214,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management",758,Frequently Asked Questions,26,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/frequently-asked-questions.html,55405,1792,21.44082,3,2,0.26,151,123,45,28,2.097,,,,https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/frequently-asked-questions.html
https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/how-to-apply.html,2,text/html;charset=UTF-8,200,OK,How to Apply - Prospective Students - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,130,1094,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management",758,How to Apply,12,,0,Step 1 – Do Your Research,25,Step 2 – Know Your Deadline,27,https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/how-to-apply.html,50662,961,13.301465,9,7,0.92,148,118,50,30,2.113,,,,https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/how-to-apply.html
https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/toefl-waiver-policy.html,3,text/html;charset=UTF-8,200,OK,TOEFL Waiver Policy - Prospective Students - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,137,1160,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management",758,HPM Policy on English Proficiency Requirement and Waivers,57,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/toefl-waiver-policy.html,47010,914,13.447219,7,6,0.79,140,114,45,28,1.291,,,,https://www.jhsph.edu/departments/health-policy-and-management/prospective-students/toefl-waiver-policy.html
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
