Address,Crawl Depth,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,Size,Word Count,Text Ratio,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Response Time,Last Modified,Redirect URI,Redirect Type,URL Encoded Address
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOME: 1 URLs (1 initially, 0 removed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jhsph.edu/departments/mental-health/,0,text/html;charset=UTF-8,200,OK,Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,77,647,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Mental Health,13,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/index.html,130876,4288,21.738,897,443,99.33,202,130,107,85,2.115,,,,https://www.jhsph.edu/departments/mental-health/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABOUT US: 3 URLs (4 initially, 1 removed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jhsph.edu/departments/mental-health/about-us/,1,text/html;charset=UTF-8,200,OK,About Us - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,88,737,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,About Us,8,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/about-us/index.html,38438,809,14.649384,147,142,31.84,148,114,23,20,1.135,,,,https://www.jhsph.edu/departments/mental-health/about-us/
https://www.jhsph.edu/departments/mental-health/about-us/epidemiology-of-mental-disorders.html,2,text/html;charset=UTF-8,200,OK,Epidemiology of Mental Disorders - About Us - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,123,1022,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Epidemiology of Mental Disorders,32,,0,Prevalence,10,Mortality,9,,,https://www.jhsph.edu/departments/mental-health/about-us/epidemiology-of-mental-disorders.html,39273,515,9.860195,8,4,0.9,162,132,24,21,1.062,,,,https://www.jhsph.edu/departments/mental-health/about-us/epidemiology-of-mental-disorders.html
https://www.jhsph.edu/departments/mental-health/about-us/origins-of-mental-health.html,2,text/html;charset=UTF-8,200,OK,Origins of Mental Health - About Us - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,115,946,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Origins of Mental Health,24,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/about-us/origins-of-mental-health.html,54674,3319,40.799004,10,4,0.9,144,114,23,20,0.761,,,,https://www.jhsph.edu/departments/mental-health/about-us/origins-of-mental-health.html
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PROSPECTIVE STUDENTS AND FELLOWS: 23 URLs (38 initially, 15 removed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/,1,text/html;charset=UTF-8,200,OK,Prospective Students and Fellows - Mental Health - Departments - Johns Hopkins Bloomberg School of Public Health,112,934,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences",558,Prospective Students and Fellows,32,,0,,0,,0,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/index.html,40427,651,11.693837,188,143,32.06,159,116,23,20,1.166,,,,https://www.jhsph.edu/departments/mental-health/prospective-students-and-fellows/
